Data Type,Item Name,From Date,To Date
NIC-2004,"Embroidery work, zari work and making of ornamental trimmings by hand",2004-2005,2007-2008
NIC-2004,"Engines and turbines, except aircraft, vehicle and cycle engines",2004-2005,2007-2008
NIC-2004,Extraction of salt.,2004-2005,2007-2008
NIC-2004,Ferro alloys,2004-2005,2007-2008
NIC-2004,Fertilizers and nitrogen compounds,2004-2005,2007-2008
NIC-2004,Finishing of textile excluding khadi/handloom,2004-2005,2007-2008
NIC-2004,Finishing of textiles,2004-2005,2007-2008
NIC-2004,"Flat products, coated with zinc, tin, chromium or other materials",2004-2005,2007-2008
NIC-2004,Flat steel products not coated,2004-2005,2007-2008
NIC-2004,Footwear.,2004-2005,2007-2008
NIC-2004,"Forging, pressing , stamping and roll-forming of metal; powder metallurgy",2004-2005,2007-2008
NIC-2004,Furniture,2004-2005,2007-2008
NIC-2004,Games and toys,2004-2005,2007-2008
NIC-2004,Glass and glass products,2004-2005,2007-2008
NIC-2004,Grain mill products,2004-2005,2007-2008
NIC-2004,Industrial process control equipment,2004-2005,2007-2008
NIC-2004,"Instruments and appliances for measuring, checking, testing, navigating and other purposes except industrial process control equipment",2004-2005,2007-2008
NIC-2004,Insulated wire and cable,2004-2005,2007-2008
NIC-2004,Jewellery and related articles,2004-2005,2007-2008
NIC-2004,Knitted and crocheted fabrics and articles,2004-2005,2007-2008
NIC-2004,Lifting and handling equipment,2004-2005,2007-2008
NIC-2004,"Luggage, handbags, and the like, saddlery and harness",2004-2005,2007-2008
NIC-2004,"Macaroni, noodles, couscous and similar farinaceous products",2004-2005,2007-2008
NIC-2004,Machine-tools,2004-2005,2007-2008
NIC-2004,"Machinery for food, beverage and tobacco processing",2004-2005,2007-2008
NIC-2004,"Machinery for metallurgy: converters, ingot moulds, ladles and casting machines; metal rolling mills and rolls for such mills",2004-2005,2007-2008
NIC-2004,"Machinery for mining, quarrying and construction",2004-2005,2007-2008
NIC-2004,"Machinery for textile, apparel and leather production",2004-2005,2007-2008
NIC-2004,"Made-up textile articles, except apparel",2004-2005,2007-2008
NIC-2004,Malt liquors and malt,2004-2005,2007-2008
NIC-2004,Man-made fibers,2004-2005,2007-2008
NIC-2004,Mdical and surgical equipment and orthopedic appliances,2004-2005,2007-2008
NIC-2004,Motor vehicles,2004-2005,2007-2008
NIC-2004,Motorcycles,2004-2005,2007-2008
NIC-2004,Musical instruments,2004-2005,2007-2008
NIC-2004,Non-flat steel products,2004-2005,2007-2008
NIC-2004,Non-structural non-refractory ceramic ware,2004-2005,2007-2008
NIC-2004,"Office, accounting and computing machinery",2004-2005,2007-2008
NIC-2004,Optical instruments and photographic equipment,2004-2005,2007-2008
NIC-2004,Other articles of paper and paperboard,2004-2005,2007-2008
NIC-2004,Other basic iron and steel n.e.c.,2004-2005,2007-2008
NIC-2004,Other chemical product n.e.c.,2004-2005,2007-2008
NIC-2004,Other electrical equipment n.e.c,2004-2005,2007-2008
NIC-2004,Other fabricated metal products n.e.c.,2004-2005,2007-2008
NIC-2004,Other food products n.e.c.,2004-2005,2007-2008
NIC-2004,Other general purpose machinery,2004-2005,2007-2008
NIC-2004,Other manufacturing n.e.c.,2004-2005,2007-2008
NIC-2004,Other non-metallic mineral products n.e.c.,2004-2005,2007-2008
NIC-2004,"Other products of wood, manufacture of articles of cork, straw and plaiting materials",2004-2005,2007-2008
NIC-2004,"Other publishing, photos and postcards, greeting cards, time-tables, forms, posters and other printed matters",2004-2005,2007-2008
NIC-2004,Other rubber products,2004-2005,2007-2008
NIC-2004,Other special purpose machinery,2004-2005,2007-2008
NIC-2004,Other textiles n.e.c.,2004-2005,2007-2008
NIC-2004,Other transport equipment n.e.c.,2004-2005,2007-2008
NIC-2004,Others,2004-2005,2007-2008
NIC-2004,"Ovens, furnaces and furnace burners",2004-2005,2007-2008
NIC-2004,"Paints, varnishes and similar coatings, printing ink and mastics",2004-2005,2007-2008
NIC-2004,Parts and accessories for motor vehicles and their engines,2004-2005,2007-2008
NIC-2004,Pesticides and other agro chemical products,2004-2005,2007-2008
NIC-2004,"Pharmaceuticals, medicinal chemicals and botanical products",2004-2005,2007-2008
NIC-2004,Pig Iron (hot metal).,2004-2005,2007-2008
NIC-2004,Plastic products,2004-2005,2007-2008
NIC-2004,Plastics in primary forms and of synthetic rubber.,2004-2005,2007-2008
NIC-2004,Preparation and spinning of textile fiber including weaving of textiles,2004-2005,2007-2008
NIC-2004,Prepared animal feeds,2004-2005,2007-2008
NIC-2004,Printing,2004-2005,2007-2008
NIC-2004,Processing and preserving of fish and fish products,2004-2005,2007-2008
NIC-2004,"Processing and preserving of fruit, vegetables and edible nuts",2004-2005,2007-2008
NIC-2004,"Production, processing and preserving of meat and meat products.",2004-2005,2007-2008
NIC-2004,"Publishing of books, brochures, musical books and other publications.",2004-2005,2007-2008
NIC-2004,"Publishing of newspapers, journals and periodicals",2004-2005,2007-2008
NIC-2004,"Pulp, paper and paper board",2004-2005,2007-2008
NIC-2004,"Pumps, compressors, taps and valves",2004-2005,2007-2008
NIC-2004,Railway and tramway locomotives and rolling stock,2004-2005,2007-2008
NIC-2004,Recycling of metal waste and scrap,2004-2005,2007-2008
NIC-2004,Recycling of non-metal waste and scrap,2004-2005,2007-2008
NIC-2004,Refined petroleum products,2004-2005,2007-2008
NIC-2004,Refractory ceramic products,2004-2005,2007-2008
NIC-2004,Reproduction of recorded media,2004-2005,2007-2008
NIC-2004,Rubber tyres and tubes; retreading and rebuilding of rubber tyres,2004-2005,2007-2008
NIC-2004,Saw milling and planing of wood,2004-2005,2007-2008
NIC-2004,Semi-finished products,2004-2005,2007-2008
NIC-2004,Service activities related to printing,2004-2005,2007-2008
NIC-2004,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",2004-2005,2007-2008
NIC-2004,Soft drinks; production of mineral waters,2004-2005,2007-2008
NIC-2004,Sports goods,2004-2005,2007-2008
NIC-2004,Starches and starch products,2004-2005,2007-2008
