Data Type,Item Name,From Date,To Date
NIC-2004,"Office, accounting and computing machinery",2004-2005,2007-2008
NIC-2004,Other mining and quarrying,2004-2005,2007-2008
NIC-2004,Other non-metallic mineral products,2004-2005,2007-2008
NIC-2004,Other transport equipment,2004-2005,2007-2008
NIC-2004,Others,2004-2005,2007-2008
NIC-2004,Paper and paper products,2004-2005,2007-2008
NIC-2004,"Publishing, printing & reproduction of recorded media",2004-2005,2007-2008
NIC-2004,"Radio, TV and communication equipments and apparatus",2004-2005,2007-2008
NIC-2004,Recycling,2004-2005,2007-2008
NIC-2004,Rubber and plastics products,2004-2005,2007-2008
NIC-2004,Textiles,2004-2005,2007-2008
NIC-2004,Tobacco products,2004-2005,2007-2008
NIC-2004,Total,2004-2005,2007-2008
NIC-2004,Wearing apparel; dressing and dyeing of fur,2004-2005,2007-2008
NIC-2004,Wood and products of wood & cork except furniture; articles of straw and plating materials,2004-2005,2007-2008
,,,
,,,
,,,
,,,
,,,
