Data Type,Group Type,Series Name,Item Name,From Date,To Date
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Manufacture of Coke, Refined Petroleum Products and Nuclear Fuel",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"manufacture of computer, electronic and optical products",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of electrical equipment,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of Electrical Machinery and Apparatus N.E.C.,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Manufacture of fabricated metal products, except machinery and equipment",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Manufacture of Fabricated Metal Products, Except Machinery and Equipments",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of Food Products and Beverages,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of furniture,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of Furniture; Manufacturing N.E.C.,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of leather and related products,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of machinery and equipment n.e.c,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,manufacture of machinery and equipment n.e.c.,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of Machinery and Equipments N.E.C,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Manufacture of Medical, Precision and Optical Instruments, Watches and Clocks",1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Manufacture of Motor Vehicles, Trailers and Semi-Trailers",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Manufacture of Office, Accounting and Computing Machinery",1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of Other Non-Metallic Mineral Products,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,manufacture of other transport equipment,1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of Paper and Paper Products,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Manufacture of Radio, Television and Communication Equipments and Apparatus",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of Rubber and Plastic Products,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,manufacture of rubber and plastics products,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of Textiles,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of Tobacco Products,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,manufacture of wearing apparel,1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of Wearing Apparel Dressing and Dyeing of Fur,1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Manufacture of Wood and Products of Wood and Cork, Except Furniture, Manufacture of Articles of Straw and Plating Materials",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Manufacture of woodand of products of wood and cork,except furniture;  manufacture  of articles  of straw and  plaiting  materials",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Metal Products and Parts, except Machinery and Equipment",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Non-Metallic Mineral Products,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,other manufacturing,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Other Mining and Quarrying,1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Paper & Paper Products and Printing, Publishing & Allied Industries",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,printing and reproduction of recorded media,1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Printing and reproduction of recorded media (this division excludes publishing activities, see section J for publishing activities",1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Publishing, Printing and Reproduction of Recorded Media",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Recycling,1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Repair and installation of machinery and equipment,1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Rubber, Plastic, Petroleum and Coal Products",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Tanning and Dressing of Leather Manufacture of Luggage, Handsbages, Saddlery, Harness and Footwear",1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Textile Products (including Wearing Apparel),1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Transport Equipment and Parts,1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Wood and Wood Products; Furniture and Fixtures,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Wool, Silk and man-made fibre textiles",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Agriculture, Hunting and Related Service Activities",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Basic Chemicals & Chemical Products (except products of Petroleum & Coal),2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Basic Metal and Alloy Industries,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Beverages, Tobacco and Related Products",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Cotton Textiles,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"crop and animal production, hunting and related service activities",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Electrical Machinery Apparatus, Appliances and Supplies and Parts",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Jute and other vegetable fibre Textiles (except cotton),2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Leather and Leather & Fur Products,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Machinery, Machine Tools and Parts Except Electrical Machinery",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of Basic Metals,2004-2005,2007-2008
